"URL","ID","Imagen","Descripcion","Precio","Ubicacion","Habitaciones","Banos","Dimension_propiedad","Dimension_terreno","Titulo","Phone1","Phone2","Email","Seller","Tipo_de_vendedor","Estado","Nueva_usada","Type","Venta_Arriendo","Region","Comuna_Ciudad","Parqueaderos","Year","Destacado_Superdestacado","url","seller_id"
"https://www.infocasas.com.uy/edificio-sobre-el-lago-calcagno-amparado-por-la-ley-de-vivienda-de-inters-social/190421156",190421156,"[""https://cdn2.infocasas.com.uy/repo/img/94_CNP-13007-TRA_468.jpg"",""https://cdn2.infocasas.com.uy/repo/img/94_CNP-13007-TRA_60.jpg"",""https://cdn2.infocasas.com.uy/repo/img/94_CNP-13007-TRA_168.jpg"",""https://cdn2.infocasas.com.uy/repo/img/94_CNP-13007-TRA_959.jpg"",""https://cdn2.infocasas.com.uy/repo/img/94_CNP-13007-TRA_962.jpg"",""https://cdn2.infocasas.com.uy/repo/img/94_CNP-13007-TRA_114.jpg"",""https://cdn2.infocasas.com.uy/repo/img/94_CNP-13007-TRA_699.jpg""]","Proyecto de 2 torres a la venta en primera linea frente al lago! Zona de mayor crecimiento!
Apartamentos de 1, 2 y 3 dormitorios. 
Edificio con amenities como barbacoas con livings, cowork, gym, playroom, piscina interior climatizada, piscina exterior climatizada, solarium, seguridad, laundry, estación eléctrica, muelle, kayaks, etc.
Amparado por la Ley de Vivienda de Interés Social 
Arquitectura: Gomez Platero
Referencia Interna : Tera-13007",287600,"Carrasco, Lago Calcagno y Av. de las Américas","2","1","81 m2","81 m2","Edificio sobre el Lago Calcagno amparado por la Ley de Vivienda de Interés Social!",59899498497,,,"Cánepa & Cánepa",,"En Pozo","N/A","Apartamento","Venta","Montevideo","Carrasco",,"2025",,"https://www.infocasas.com.uy/edificio-sobre-el-lago-calcagno-amparado-por-la-ley-de-vivienda-de-inters-social/190421156","94"
"https://www.infocasas.com.uy/lote-cancha-de-golf-financiacin-en-pesos-seguridad-club-house/186081994",186081994,"[""https://cdn2.infocasas.com.uy/web/611235950bb4b_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/61123596045f3_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/61123596d7ede_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/61123597becbc_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/61123598b515c_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/611235997784b_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/6112359a56d63_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/6112359b32f7d_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/6112359bf0a78_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/6112359ccb88a_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/6112359dc36c0_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/6112359f1684d_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/6112359fd9a1b_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/611235a0b61b4_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/611235a199782_infocdn.jpg""]","CARMELO GOLF:Es un Barrio Privado Residencial ubicado en la localidad de Carmelo, Uruguay. Cuenta con 270 hectáreas parquizadas y el paisaje se distingue por sus quebradas, grandes lagunas y viñedos. Es un concepto único, diseñado especialmente para aquellas familias que disfrutan de la naturaleza y la vida al aire libre. Su entorno exclusivo y natural, es el escenario ideal para la variedad de propuestas y actividades que ofrece el lugar.Los LotesCarmelo Golf cuenta con grandes lotes de entre 1.700 y 4.700 m2 de superficie.",140995,"Carmelo, Carmelo Golf",,,,"2.026 m2","Lote, cancha de golf, financiación en pesos, seguridad, club house.",,,"ventas@infocasas.com.uy","COVELLO INTERNATIONAL",,"A estrenar","N/A","Terreno","Venta","Colonia","Carmelo",,,,,
"https://www.infocasas.com.uy/apartamento-en-venta-en-zona-punta-shopping/189809628",189809628,"[""https://cdn2.infocasas.com.uy/repo/img/201060_NGP-27435-TRA_929.jpg"",""https://cdn2.infocasas.com.uy/repo/img/201060_NGP-27435-TRA_793.jpg"",""https://cdn2.infocasas.com.uy/repo/img/201060_NGP-27435-TRA_101.jpg"",""https://cdn2.infocasas.com.uy/repo/img/201060_NGP-27435-TRA_552.jpg"",""https://cdn2.infocasas.com.uy/repo/img/201060_NGP-27435-TRA_287.jpg"",""https://cdn2.infocasas.com.uy/repo/img/201060_NGP-27435-TRA_773.jpg"",""https://cdn2.infocasas.com.uy/repo/img/201060_NGP-27435-TRA_833.jpg"",""https://cdn2.infocasas.com.uy/repo/img/201060_NGP-27435-TRA_887.jpg"",""https://cdn2.infocasas.com.uy/repo/img/201060_NGP-27435-TRA_585.jpg"",""https://cdn2.infocasas.com.uy/repo/img/201060_NGP-27435-TRA_864.jpg"",""https://cdn2.infocasas.com.uy/repo/img/201060_NGP-27435-TRA_60.jpg"",""https://cdn2.infocasas.com.uy/repo/img/201060_NGP-27435-TRA_795.jpg"",""https://cdn2.infocasas.com.uy/repo/img/201060_NGP-27435-TRA_636.jpg"",""https://cdn2.infocasas.com.uy/repo/img/201060_NGP-27435-TRA_283.jpg"",""https://cdn2.infocasas.com.uy/repo/img/201060_NGP-27435-TRA_698.jpg""]","Ideal para renta, apartamento de 1 dormitorio y 1 baño a metros de Punta Shopping!
Construcción tradicional.
Cocheras de cortesía.
Referencia Interna : Tera-27435",97000,"Punta del Este, ","1","1",,,"Apartamento en venta en zona Punta Shopping",42497364,,"ventas@infocasas.com.uy","Nancy Gutierrez Propiedades",,"Buen estado","N/A","Apartamento","Venta","Maldonado","Punta del Este",,,,,
"https://www.infocasas.com.uy/exclusivo-y-amplio-apto-de-1-dorm-con-barbacoa-abierta-con-parrillero/188976497",188976497,"[""https://cdn2.infocasas.com.uy/web/6230fef7acbd8_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/6230ff331f0e3_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/6230ff33cd5b9_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/6230ff3487de9_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/6230ff3541728_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/6230ff35d2514_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/6230ff367656e_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/6230ff37368ce_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/6230ff37d0142_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/6230ff387aa08_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/6230ff391d167_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/6230ff39ad257_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/6230ff3a69a13_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/6230ff3b6d6e2_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/6230ff3c25417_infocdn.jpg""]","                                                            Venta de Apartamento 1 Dormitorio en BARRIO SUR, Montevideo<br><br><br>¡Se vende con buena renta! Alquilado en $ 23.000 en Mayo 2022 por un año con opción a dos y garantía de propiedad.<br><br>Exclusivo apartamento de 1 dormitorio de grandes dimensiones, con barbacoa abierta con parrillero en la azotea de 15 m2 de uso exclusivo!<br><br>Excelente ubicación, en Isla de Flores y Carlos Quijano, próximo a la rambla y a solo 6 cuadras de Av. 18 de Julio. Muy buena calidad de construcción y modernas terminaciones.<br><br>Apartamento ubicado en planta baja al frente, gran living comedor con 2 ventanales hacia la calle, cocina integrada con anafe, horno eléctrico y campana. Muebles bajo y sobre mesada. Baño completo muy cómodo. Espectacular dormitorio de 7 metros de largo por 3 metros de ancho! Placard de pared a pared y piso al techo. Previsión para aire acondicionado.<br><br>Divina barbacoa abierta de 15 m2 de uso exclusivo en la azotea, con parrillero, mesada y pileta, para disfrutar en familia y con amigos.<br><br>Lavadero común en la azotea con instalación prevista para que cada apartamento conecte su propio lavarropas de forma independiente. Zona para tender la ropa.<br><br>¡UNA OPCIÓN DIFERENTE, PENSADA PARA TU ESTILO DE VIDA!<br><br>Opción de comprar garaje en el edificio por USD 15.000.<br><br><br>Comisión inmobiliaria 3 % más Iva.<br>        <br><br>        <br>        <br>        <br>        <br><br>AAP*** - Abate Propiedades",135000,"Barrio Sur, Isla de Flores y Carlos Quijano","1 Dorm.","1","55 m2",,"Exclusivo y amplio apto de 1 dorm con barbacoa abierta con parrillero!",27070700,26007777,"ventas@infocasas.com.uy","Abate",,"Excelente estado","N/A","Apartamentos","Venta","Barrio Sur","Montevideo","N/A","1","N/A",,
"https://www.infocasas.com.uy/venta-apartamento-1-dormitorio-y-medio-punta-del-este/190256269",190256269,"[""https://cdn2.infocasas.com.uy/repo/img/192_AIXA-285-TRA_435.jpg"",""https://cdn2.infocasas.com.uy/repo/img/192_AIXA-285-TRA_725.jpg"",""https://cdn2.infocasas.com.uy/repo/img/192_AIXA-285-TRA_57.jpg"",""https://cdn2.infocasas.com.uy/repo/img/192_AIXA-285-TRA_648.jpg"",""https://cdn2.infocasas.com.uy/repo/img/192_AIXA-285-TRA_950.jpg"",""https://cdn2.infocasas.com.uy/repo/img/192_AIXA-285-TRA_746.jpg"",""https://cdn2.infocasas.com.uy/repo/img/192_AIXA-285-TRA_897.jpg"",""https://cdn2.infocasas.com.uy/repo/img/192_AIXA-285-TRA_871.jpg"",""https://cdn2.infocasas.com.uy/repo/img/192_AIXA-285-TRA_565.jpg"",""https://cdn2.infocasas.com.uy/repo/img/192_AIXA-285-TRA_470.jpg"",""https://cdn2.infocasas.com.uy/repo/img/192_AIXA-285-TRA_331.jpg"",""https://cdn2.infocasas.com.uy/repo/img/192_AIXA-285-TRA_970.jpg"",""https://cdn2.infocasas.com.uy/repo/img/192_AIXA-285-TRA_297.jpg"",""https://cdn2.infocasas.com.uy/repo/img/192_AIXA-285-TRA_880.jpg"",""https://cdn2.infocasas.com.uy/repo/img/192_AIXA-285-TRA_246.jpg""]","Apartamento en venta en Av. Roosevelt proximo al Shopping ! Piso alto con vistas !
Ubicado en uno de los puntos más altos de Av. Roosevelt, permite disfrutar de hermosas vistas. 
Apartamento de un dormitorio y medio, con living y comedor de amplias dimensiones, generosa area social.
Piso alto, con amplia terraza con salida del living y dormitorio, excelente equipamiento. 
Completa área de amenities: pileta climatizada (en verano), barbacoa, play room para chicos, sala multiuso, gimnasio y saunas, recepción 24 hs, seguridad, servicio de mucamas y garage.
Referencia Interna : Tera-285",198000,"Roosevelt, Av Roosevelt y Florianopolis, Punta del Este, Uruguay","1","1","70 m2","70 m2","Venta Apartamento 1 dormitorio y medio Punta del Este",95606606,,"ventas@infocasas.com.uy","Aixa Real Estate",,"Buen estado","N/A","Apartamento","Venta","Maldonado","Roosevelt","1",,,,
"https://www.infocasas.com.uy/gran-oportunidad-en-complejo-bilu/186864180",186864180,"[""https://cdn2.infocasas.com.uy/repo/img/3721dbf85fbd0d04c42dfbb48b83c75abd5c1be3.jpeg"",""https://cdn2.infocasas.com.uy/repo/img/e578b17506d04a1d2998b466366d78b7946db521.jpeg"",""https://cdn2.infocasas.com.uy/repo/img/ee2b09f91467babc5719c6fab1e4131aed07ba61.jpeg"",""https://cdn2.infocasas.com.uy/repo/img/42aed0e3ae4a299c03955563af21408fd898cb84.jpeg"",""https://cdn2.infocasas.com.uy/repo/img/8ac8485e7e4fc5e22e4f7db7116890c8c974eb06.jpeg"",""https://cdn2.infocasas.com.uy/repo/img/22b4f69341c3b489d4a6eeffdd8dda1cb4d5d2a0.jpeg"",""https://cdn2.infocasas.com.uy/repo/img/78a7e33451aef5c75adb1113ae835d99dcb3f66f.jpeg"",""https://cdn2.infocasas.com.uy/repo/img/cff9fd7f4aeb569684a63fb3bf13650f197d1c12.jpeg"",""https://cdn2.infocasas.com.uy/repo/img/08746978e4f171b8f48cd6e7a9bed6ce7166d8e6.jpeg"",""https://cdn2.infocasas.com.uy/repo/img/8c5c4ca2c744a4c1a8ca5924dbf46a52b8aadb7a.jpeg"",""https://cdn2.infocasas.com.uy/repo/img/e4afa59e7d2c61ec28d863eff1b6fb1fd626bf49.jpeg"",""https://cdn2.infocasas.com.uy/repo/img/640003b9673ac3bdaea3cc68a1b4b03fed7f44b9.jpeg"",""https://cdn2.infocasas.com.uy/repo/img/e06f8790cfd97362480c8995e4a4b8120ff37f57.jpeg"",""https://cdn2.infocasas.com.uy/repo/img/b0e5b125232f0115aa5f6e1ec571eb5d99ddd329.jpeg"",""https://cdn2.infocasas.com.uy/repo/img/dee1cccf9564e0b672195c064d720cda8998334f.jpeg""]","																																																		",400000,"Barra de Carrasco, AVENIDA  A LA PLAYA",,"2","100 m2",,"GRAN OPORTUNIDAD  EN COMPLEJO BILU",,,"ventas@infocasas.com.uy","SC ESTUDIO",,"Excelente estado","N/A","Apartamento","Venta","Montevideo","Barra de Carrasco","1","2015",,,
"https://www.infocasas.com.uy/departamento-malvn/190288787",190288787,"[""https://cdn2.infocasas.com.uy/web/644cccb1a9f78_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/644ccccfcc4ad_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/644cccd47815c_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/644cccd899021_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/644cccdc7840b_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/644ccce08305b_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/644ccce48e7fc_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/644ccce908f9c_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/644ccced144da_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/644cccf145e09_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/644cccf5a4bae_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/644cccfa36045_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/644cccfe2fcf3_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/644ccd022cd6f_infocdn.jpg"",""https://cdn2.infocasas.com.uy/web/644ccd062010a_infocdn.jpg""]","            MUY LINDO DEPARTAMENTO EN PRIMERA LINEA, PARA VIVIR O TRABAJAR SOBRE EL MAR.        En el barrio Malvín, frente al mar, cercano a áreas verdes, restaurantes, comercios y excelente conectividad hacia todos los puntos de la ciudad. Edificio recién inaugurado, con modernas terminaciones, calidad, espacios amplios, jardín colgante, para vivir como estabas deseando.GimnasioPiscina exterior climatizadaTerraza solariumHidromasajesGuarderíaSala de JuegosLavanderíaParking para bicicletasParrilleros comunesSalón de usos múltiplesWiFi áreas comunesDetector de humoEquipamiento contra incendiosVideo vigilancia CCTVApartamento el frente,&nbsp; living comedor con terraza a la rambla, un dormitorio,&nbsp; cocina definida con terraza lavadero, baño completo.Consulte otras opciones.        .",47000,"Malvín, MALVIN SOBRE EL RIO, A ESTRENAR, PISO DIEZ","1","1","59 m2",,"Departamento - Malvín",59827072424,,,"Ciudad Inmobiliaria",,"A estrenar","N/A","Apartamento","Venta","Montevideo","Malvín",,,,,
"https://www.infocasas.com.uy/proyectos/nouveau-gaboto",1113595914651,"[""https://cdn2.infocasas.com.uy/repo/img/f0f21d5b5262cf69b5a5047a9e536d6963c81424.jpg"",""https://cdn2.infocasas.com.uy/repo/img/21a99135ddd94021ea4dd1214c2efcc71c314d90.jpg"",""https://cdn2.infocasas.com.uy/repo/img/ac91a997898c3af94afa527f713ceb7d80f1bd75.jpg"",""https://cdn2.infocasas.com.uy/repo/img/806da3ab0a28d7a82e9d42487c073f649767352f.jpg"",""https://cdn2.infocasas.com.uy/repo/img/9e8d35764c54234a755cde1ffc53c629fa2094fd.jpg"",""https://cdn2.infocasas.com.uy/repo/img/fd2a135df786485fce276e0e82894a1406a802b7.jpg"",""https://cdn2.infocasas.com.uy/repo/img/630ee3b10e750e0750320c3c812669b62e75eee8.jpg"",""https://cdn2.infocasas.com.uy/repo/img/e9fe983f9ff44bc222262e1f9b562d0d7f59ace6.jpg"",""https://cdn2.infocasas.com.uy/repo/img/b3e27570b54fa94aaef7122fd5f6ef614abbb39e.jpg"",""https://cdn2.infocasas.com.uy/repo/img/71e3dbf3c72c409c264792d1ef794da5baeff324.jpg"",""https://cdn2.infocasas.com.uy/repo/img/f7ceee54d8886ce87ee87e150fbce5a09a20a5af.jpg"",""https://cdn2.infocasas.com.uy/repo/img/84cfe06606b036a65d85b988731c2277020e64e8.jpg"",""https://cdn2.infocasas.com.uy/repo/img/9150e4da2875036a78479bd9affd76895e963cb1.jpg"",""https://cdn2.infocasas.com.uy/repo/img/f0f21d5b5262cf69b5a5047a9e536d6963c81424.jpg"",""https://cdn2.infocasas.com.uy/repo/img/21a99135ddd94021ea4dd1214c2efcc71c314d90.jpg""]","Descripción Nouveau Gaboto esta situado en el barrio Cordón Sur, a tan solo 150 m de la Av. 18 de Julio, en una zona estratégica de Montevideo. El sector con mayor potencial de desarrollo comercial, residencial y universitario de la ciudad. Muy cerca de las principales universidades de la ciudad, próximo a zona de comercios, restaurantes, bares y paseos, la zona se ha convertido en el principal interés de estudiantes universitarios. En NOVEAU es posible vivir en un lugar donde puedas moverte diariamente en bici. Nouveau Gaboto es un proyecto que contempla el estilo de vida contemporáneo, diseñados para fomentar un sentido de comunidad en una de las zonas más atractivas de Montevideo. ?†’ Cómodo hall de acceso con equipamiento de diseño. ?†’ SUM totalmente equipado con vista panorámica de la ciudad. ?†’ Acceso vehicular con portón motorizado con control remoto. ?†’ Portero eléctrico en cada uno de los apartamentos para abrir las puertas de acceso peatonal. Diseñado para poder estudiar, trabajar y disfrutar desde casa. El diseño interior contemporáneo de Nouveau Gaboto está dirigido a residentes con los más altos estándares. ?†’ Pavimentos en living, circulaciones, dormitorios y cocina de listones vinílicos simil madera con zócalos de poliesti reno blanco. El piso de los baños será de porcelanato o cerámica de primera calidad. ?†’ Cocinas en melamina color grafite gris oscuro o similar con sus respectivos herrajes. Las mesadas serán de granito con bordes pulidos. El sobremesada será recubierto con cerámico de primera calidad. ?†’ Vanitorys con mesada en melamínico blanco. ?†’ Aberturas exteriores de aluminio corredizas de anodizado natural o anolock negro Apartamentos de 1 dormitorio con terraza a partir de 45m2 desde USD 95.600 Gym Co-work Barbacoa abierta y cerrada Seguridad CCTV Laundry Bicicletas Acceso digital Terraza",,", ",,,,,"Proyecto Nouveau Gaboto - Montevideo, Barrio Sur",27143260,27143260,,,,,"N/A",,"Venta",,,,,,"https://www.infocasas.com.uy/proyectos/nouveau-gaboto",
"https://www.infocasas.com.uy/apartamento-en-alquiler-3-dormitorios/187384336",187384336,"[""https://cdn2.infocasas.com.uy/repo/img/279_BPV-BPV-6261_120.jpg"",""https://cdn2.infocasas.com.uy/repo/img/279_BPV-BPV-6261_840.jpg"",""https://cdn2.infocasas.com.uy/repo/img/279_BPV-BPV-6261_491.jpg"",""https://cdn2.infocasas.com.uy/repo/img/279_BPV-BPV-6261_546.jpg"",""https://cdn2.infocasas.com.uy/repo/img/279_BPV-BPV-6261_660.jpg"",""https://cdn2.infocasas.com.uy/repo/img/279_BPV-BPV-6261_191.jpg"",""https://cdn2.infocasas.com.uy/repo/img/279_BPV-BPV-6261_209.jpg"",""https://cdn2.infocasas.com.uy/repo/img/279_BPV-BPV-6261_183.jpg"",""https://cdn2.infocasas.com.uy/repo/img/279_BPV-BPV-6261_104.jpg"",""https://cdn2.infocasas.com.uy/repo/img/279_BPV-BPV-6261_497.jpg""]","Alquiler temporario de Apartamento 3 DORMITORIOS en MANANTIALES.Espectacular apartamento 3 dormitorios, 1 en suite, living comedor, cocina semi integrada, 2 baños y toilette. En exterior balcon con vista al mar. Excelente ubicación a 300 mts del mar y cercano a zona comercial, entorno tranquilo y natural. Cuenta con servicio de piscina y parrillero, Aire acondicionado, Wifi, Tv Cable.Gran oportunidad ¡Consulte!                                 .  Caracteristicas:  BALCON,  COMEDOR,  DORMITORIO EN SUITE,  LIVING,  LIVING COMEDOR,  TOILETTE,  COCINA,  TELEFONO,  WIFI,  VISTA AL MAR,  HELADERA,  LUZ ELECTRICA,  CALEFON,  CONEXIóN A INTERNET,  AGUA CORRIENTE,  ESTACIONAMIENTO,  PLACARD EN COCINA,  APTO PARA FAMILIAS/NIñOS,  SEGURIDAD *** (BPV-BPV-6261)",0,"Manantiales, 100","3","2","90 m2",,"Apartamento EN alquiler 3 DORMITORIOS",42773444,,"ventas@infocasas.com.uy","Beba Páez Vilaró",,"Excelente estado","N/A","Apartamento","Alquiler","Maldonado","Manantiales",,,,,
"https://www.infocasas.com.uy/alquilo-temporal-casa-3-dormitorios-punta-del-este-piscina/190651903",190651903,"[""https://cdn2.infocasas.com.uy/repo/img/173092271_CW203819_857.jpg"",""https://cdn2.infocasas.com.uy/repo/img/173092271_CW203819_377.jpg"",""https://cdn2.infocasas.com.uy/repo/img/173092271_CW203819_79.jpg"",""https://cdn2.infocasas.com.uy/repo/img/173092271_CW203819_980.jpg"",""https://cdn2.infocasas.com.uy/repo/img/173092271_CW203819_941.jpg"",""https://cdn2.infocasas.com.uy/repo/img/173092271_CW203819_378.jpg"",""https://cdn2.infocasas.com.uy/repo/img/173092271_CW203819_153.jpg"",""https://cdn2.infocasas.com.uy/repo/img/173092271_CW203819_624.jpg"",""https://cdn2.infocasas.com.uy/repo/img/173092271_CW203819_597.jpg"",""https://cdn2.infocasas.com.uy/repo/img/173092271_CW203819_110.jpg"",""https://cdn2.infocasas.com.uy/repo/img/173092271_CW203819_607.jpg"",""https://cdn2.infocasas.com.uy/repo/img/173092271_CW203819_703.jpg"",""https://cdn2.infocasas.com.uy/repo/img/173092271_CW203819_806.jpg"",""https://cdn2.infocasas.com.uy/repo/img/173092271_CW203819_309.jpg"",""https://cdn2.infocasas.com.uy/repo/img/173092271_CW203819_436.jpg""]","Alquiler temporalPRECIOS: 1er quincena de enero U$S 14.0002da quincena de enero U$S 8.000Febrero NO DISPONIBLEComisión inmobiliaria 10%Gastos Extras U$S 50 limpieza + consumos eléctricosDescripciónAlquiler de temporada en enero en una ubicación ideal en Punta del Este. A pocos metros del Shopping y el Boulevard Gourmet, y a 500 metros de la playa brava P10, esta moderna casa de dos plantas es perfecta para un matrimonio con hijos mayores que buscan estar cerca de la acción de la ciudad.En la planta baja, encontrarás dos dormitorios con camas marineras, un dormitorio con un sofá cama de dos plazas, un baño completo, un toilette, un espacio de estar-comedor y una cocina. En la planta alta, hay un dormitorio en suite con vestidor.La casa cuenta con un parrillero sombreado y techado con una mesa para 12 personas, ideal para reuniones al aire libre. Además, una piscina añade un toque refrescante a los días soleados.Esta es una oportunidad única de alquiler de temporada en enero en Punta del Este. Ideal para quienes buscan una estancia cómoda y céntrica, esta casa ofrece todas las comodidades para disfrutar de unas vacaciones memorables en esta famosa ciudad costera. ¡No pierdas la oportunidad de reservar este espacio para el próximo enero! (CW203819)",19500,"Aidy Grill, Pedragosa Sierra","4","3","220 m2","800 m2","Alquilo temporal casa 3 dormitorios Punta del Este Piscina",99171595,,,"KW One Punta",,"Excelente estado","N/A","Casa","Venta","Maldonado","Aidy Grill","1","2010",,"https://www.infocasas.com.uy/alquilo-temporal-casa-3-dormitorios-punta-del-este-piscina/190651903",
